c_id,company_name,city,relation
CMatched-228,Initiativausschuss für Migrationspolitik in Rheinland-Pfalz,Mainz,LOBBYIST
CMatched-229,Roga Dienstleistungs- u. Vermögensverwaltungsges. mbH,Herzberg,LOBBYIST
CMatched-230,RMRC GmbH,Oberhaching,CLIENT
CMatched-231,Deutsche Renten Information e.V. Verein zur Förderung der Transparenz in der Altersvorsorge,Berlin-Friedenau,LOBBYIST
CMatched-232,HAARDT MOBILITY CONSULT GmbH,Siegen,LOBBYIST
CMatched-233,TÜV Rheinland AG,Köln,CLIENT
CMatched-234,Windland Energieerzeugungs GmbH,Berlin,LOBBYIST
CMatched-235,German Society of Residents in Urology e.V. (GeSRU),Planegg,LOBBYIST
CMatched-237,WALA Heilmittel GmbH,Boll,LOBBYIST
CMatched-239,Verband Hamburger und Bremer Schiffsmakler,Hamburg,LOBBYIST
CMatched-240,Zentralverband Deutscher Schiffsmakler ,Hamburg,LOBBYIST
CMatched-241,Deloitte Consulting GmbH,Düsseldorf,LOBBYIST
CMatched-242,Tantramassage-Verband e.V. (TMV),Leipzig,LOBBYIST
CMatched-243,W. NEUDORFF GMBH KG,Emmerthal,LOBBYIST
CMatched-244,BeiGene Germany GmbH,München,LOBBYIST
CMatched-245,Bundesverband freier Kfz-Händler e. V.,Bonn,LOBBYIST
CMatched-246,Regionalbauerverband Mittel- und Westsachsen e. V.,Hartmannsdorf,LOBBYIST
CMatched-247,Bildungsgenossenschaft Südniedersachsen eG,Göttingen,LOBBYIST
CMatched-248,Bundesverband Deutscher Stiftungen e.V.,Berlin,LOBBYIST
CMatched-251,Verein zur Förderung des bedingungslosen Grundeinkommens.e.V.,Berlin,LOBBYIST
CMatched-252,Wirtschaft im Wettbewerb Verein für Lauterkeit in Handel und Industrie e.V.,Düsseldorf,LOBBYIST
CMatched-253,AG Verleih - Verband unabhängiger Filmverleiher,Berlin,LOBBYIST
CMatched-254,Piffl Medien,Berlin,CLIENT
CMatched-255,Bundesverband Liberaler Hochschulgruppen,Berlin,LOBBYIST
CMatched-256,"Verband der Europäischen Bettfedern- und Bettwarenindustrie e.V. (European Down and Feather Association, EDFA)",Mainz,LOBBYIST
CMatched-257,Bündnis DaF/DaZ-Lehrkräfte,Tübingen,LOBBYIST
CMatched-258,Verband der Nahrungsmittelindustrie für die Pfalz e. V. ,Neustadt an der Weinstraße,LOBBYIST
CMatched-259,"Verband der Papier, Pappe und Kunststoff verarbeitenden Industrie Rheinland-Pfalz und Saarland e. V.",Neustadt an der Weinstraße,LOBBYIST
CMatched-260,DHV-Die Berufsgewerkschaft e.V.,Hamburg,LOBBYIST
CMatched-261,Selbstregulierung Informationswirtschaft e.V.,Berlin,LOBBYIST
CMatched-262,Trianel Gasspeicher Epe GmbH & Co. KG,Gronau-Epe,LOBBYIST
CMatched-263,Primagas Energie GmbH,Krefeld,LOBBYIST
CMatched-264,Berufsverband Deutscher Humangenetiker e.V. (BVDH),Berlin,LOBBYIST
CMatched-265,Berufsverband der Deutschen Dermatologen e.V.,Berlin,LOBBYIST
CMatched-266,United Company Rusal,Kaliningrad,LOBBYIST
CMatched-267,United Company Rusal,Moscow,LOBBYIST
CMatched-268,W. L. Gore & Associates GmbH,Putzbrunn,LOBBYIST
CMatched-269,Bundesverband Caritas Behindertenhilfe und Psychiatrie (CBP),Berlin,LOBBYIST
CMatched-270,"Twincore, Zentrum für Experimentelle und Klinische Infektionsforschung GmbH",Hannover,LOBBYIST
CMatched-271,Konzeptwerk Neue Ökonomie e.V.,Leipzig,LOBBYIST
CMatched-272,Einstein Stiftung Berlin,Berlin,LOBBYIST
CMatched-273,Deutsche Arbeitsgemeinschaft Endlagerforschung,Clausthal-Zellerfeld,LOBBYIST
CMatched-276,FL(EX)PERTEN (meta-i.d. Ökologische Innovation GmbH),Kassel,CLIENT
CMatched-277,Vamos e.V.,Münster,LOBBYIST
CMatched-280,Tearfund Deutschland e.V.,Berlin,LOBBYIST
CMatched-281,Bundesarbeitsgemeinschaft Deutscher Kommunalversicherer - BADK -,Köln,LOBBYIST
CMatched-282,Verband Deutscher Schiffsausrüster e.V.,Hamburg,LOBBYIST
CMatched-283,Clean Air Task Force (CATF),"Boston, MA 02109",LOBBYIST
CMatched-284,Zentralverband der Deutschen Naturwerkstein-Wirtschaft (ZDNW),Frankfurt,LOBBYIST
CMatched-285,HVG Hopfenverwertungsgenossenschaft e.G.,Wolnzach,LOBBYIST
CMatched-286,iddiw - Institut der Deutschen Immobilienwirtschaft e.V.,Frankfurt,LOBBYIST
CMatched-287,BASF Lampertheim GmbH,Lampertheim,LOBBYIST
CMatched-288,WIMCOM GmbH,Höhr-Grenzhausen,LOBBYIST
CMatched-289,Trierer Hafengesellschaft mbH,Rheinland-Pfalz - Trier,LOBBYIST
CMatched-290,Bundesverband Das frühgeborene Kind e.V.,Frankfurt am Main,LOBBYIST
CMatched-291,Kraftblock GmbH,Sulzbach,LOBBYIST
CMatched-292,Kraftblock GmbH,Sulzbach/Saar,LOBBYIST
CMatched-295,blocknox GmbH,Stuttgart,LOBBYIST
CMatched-296,Neptun Werft,Rostock,LOBBYIST
CMatched-297,Digitalcourage e.V.,Bielefeld,LOBBYIST
CMatched-298,Biogas Service Tarmstedt GmbH,Westertimke,LOBBYIST
CMatched-301,Kompetenzzentrum Technik-Diversity-Chancengleichheit e.V.,Bielefeld,LOBBYIST
CMatched-302,Scheuermann GmbH,Wiernsheim,LOBBYIST
CMatched-303,Scheuermann GmbH,Heilbronn,LOBBYIST
CMatched-304,Commerz Real AG,Wiesbaden,LOBBYIST
CMatched-305,European Land and Soil Alliance (ELSA) ,Osnabrück,LOBBYIST
CMatched-306,Ecosia GmbH,Berlin,LOBBYIST
CMatched-307,Initiative Musik gemeinnützige Projektgesellschaft mbH,Berlin,LOBBYIST
CMatched-310,Verbraucherzentrale Schleswig-Holstein e.V.,Kiel,LOBBYIST
CMatched-311,DJI GmbH,Frankfurt am Main,LOBBYIST
CMatched-312,DJI GmbH,Frankfurt am Main,CLIENT
CMatched-313,Harz Guss Zorge GmbH,Walkenried,LOBBYIST
CMatched-314,INTERSPORT Deutschland eG,Heilbronn,LOBBYIST
CMatched-315,INTERSPORT Deutschland eG,"Heilbronn,",LOBBYIST
CMatched-316,World Dog Alliance Private Limited Company (Hong Kong Ltd.),"Kwun Tong, Kowloon",LOBBYIST
CMatched-317,Horizon Therapeutics GmbH,Mannheim,LOBBYIST
CMatched-318,Horizon Therapeutics GmbH,Tübingen,LOBBYIST
CMatched-319,CASIO Europe GmbH,Norderstedt,LOBBYIST
CMatched-320,Athora Deutschland Holding GmbH & Co KG,Wiesbaden,LOBBYIST
CMatched-321,Athora Deutschland Holding GmbH & Co KG,Neu-Isenburg,LOBBYIST
CMatched-322,Bundesverband Druck und Medien e.V.,Berlin,LOBBYIST
CMatched-323,Aktion Deutschland Hilft e.V.,Bonn,LOBBYIST
CMatched-324,JARO Institut für Nachhaltigkeit und Digitalisierung e.V.,Berlin,LOBBYIST
CMatched-325,infoscore Consumer Data GmbH,Baden-Baden,LOBBYIST
CMatched-326,Eurobitume,1160 Bruxelles,LOBBYIST
CMatched-327,Pfadfinderinnenwerk St. Georg e. V.,Düsseldorf,LOBBYIST
CMatched-330,one2many B.V,Deventer,LOBBYIST
CMatched-331,Bund der Alevitischen Jugendlichen in Deutschland e.V.,Köln,LOBBYIST
CMatched-332,Vereinigung der Kanzlerinnen und Kanzler der Universitäten Deutschlands,Ulm,LOBBYIST
CMatched-333,FertiPROTEKT Netzwerk e.V.,Marburg,LOBBYIST
CMatched-334,Forum Bildung Digitalisierung e.V.,Berlin,LOBBYIST
CMatched-335,Experian CarCert GmbH,Wiesbaden,LOBBYIST
CMatched-336,Verein für Internationalismus und Kommunikation,Bremen,LOBBYIST
CMatched-337,"Nationales Forum Beratung in Bildung, Beruf und Beschäftigung e.V.",Berlin,LOBBYIST
CMatched-338,Parents For Future Deutschland e.V.,Hamburg,LOBBYIST
CMatched-339,Shenzhen Software Industry Association,Shenzhen,LOBBYIST
CMatched-340,Deutscher Basketball Bund,Hagen,LOBBYIST
CMatched-341,Verband deutscher Wassersportschulen e.V. (VDWS),Weilheim,LOBBYIST
CMatched-342,Maskenverband Deutschland e. V.,Landshut,LOBBYIST
CMatched-343,PRLX Consulting GmbH,Berlin,LOBBYIST
CMatched-344,Wolt Enterprises Deutschland GmbH,Berlin,CLIENT
CMatched-345,Global Counsel Belgium Srl,1040 Brussels,CLIENT
CMatched-346,Verband deutscher Alkoholherstellung u. Verarbeiter e. V.,Hannover,LOBBYIST
CMatched-347,"Ehlers, Ehlers & Partner",München,LOBBYIST
CMatched-348,Johannesbad Holding SE & Co. KG,München,CLIENT
CMatched-349,Bundesverband ausgebildeter Trainer und Berater e.V.,Ottobrunn,LOBBYIST
CMatched-350,Defund Syrian Embassy,München,LOBBYIST
CMatched-351,ANOA Arbeitsgemeinschaft orthopädischer nicht operativer manualmedizinscher Akutkliniken e.V.,Oberwesel,LOBBYIST
CMatched-352,GenderCC-Women for Climate Justice e.V.,Berlin,LOBBYIST
CMatched-353,Munich Quantum Valley e.V.,München,LOBBYIST
CMatched-354,ASP Equipment GmbH,Salem-Neufrach,LOBBYIST
CMatched-355,Pestalozzi-Fröbel-Verband e.V.,Berlin,LOBBYIST
CMatched-356,Everbridge Europe Limited,"Colchester, Essex CO4 5YQ",LOBBYIST
CMatched-357,Internationaler Tierschutz-Fonds gGmbH,Hamburg,LOBBYIST
CMatched-358,Senior Experten Service - Stiftung der Deutschen Wirtschaft für internationale Zusammenarbeit,Bonn,LOBBYIST
CMatched-359,RDA Internationaler Bustouristik Verband e.V.,Köln,CLIENT
CMatched-360,Lufthansa City Center Reisebüropartner GmbH,Frankfurt am Main,CLIENT
CMatched-361,HRA Pharma Deutschland GmbH,Wiesbaden,LOBBYIST
CMatched-362,HRA Pharma Deutschland GmbH,Karlsbad,LOBBYIST
CMatched-363,HRA Pharma Deutschland GmbH,Konstanz,LOBBYIST
CMatched-364,Unabhängiges Institut für Umweltfragen e.V.,Berlin,LOBBYIST
CMatched-365,Deutsche Gesellschaft für Palliativmedizin e. V.,Berlin,LOBBYIST
CMatched-366,DOMOWINA Zwjazk Łužiskich Serbow z.t. / Zwězk Łužyskich Serbow z.t. / Bund Lausitzer Sorben e.V.,Bautzen/Budyšin,LOBBYIST
CMatched-367,SCHACHTBAU NORDHAUSEN GmbH,Nordhausen,LOBBYIST
CMatched-368,Defenture B.V. ,Tiel,LOBBYIST
CMatched-369,Defenture B.V. ,Tiel    4004 MB   ,LOBBYIST
CMatched-370,Deutsche Arbeitsgemeinschaft Selbsthilfegruppen,Berlin,LOBBYIST
CMatched-371,ITS mobility e.V.,Braunschweig,LOBBYIST
CMatched-372,Deutsche Gesellschaft für Hämatologie und Medizinische Onkologie e. V. ,Berlin,LOBBYIST
CMatched-373,HL7 Deutschland e. V.,Berlin,LOBBYIST
CMatched-374,Corinna Kawaters Kommunikationsberatung,Bochum,LOBBYIST
CMatched-375,EnBW AG,Karlsruhe,CLIENT
CMatched-376,Evonik Industries AG,Essen,CLIENT
CMatched-377,NOMOS Glashütte/SA Roland Schwertner KG ,Glashütte ,CLIENT
CMatched-378,Verband Unabhängiger Heilpraktiker e.V.,Braunschweig,LOBBYIST
CMatched-379,ISN - Interessengemeinschaft der Schweinehalter Deutschlands e.V.,Damme,LOBBYIST
CMatched-380,Zentralverband der Deutschen Geflügelwirtschaft e.V.,Berlin,LOBBYIST
CMatched-381,Flughafen Stuttgart GmbH,Stuttgart,LOBBYIST
CMatched-382,Deutsche Gesellschaft für das Badewesen e. V. (DGfdB),Essen,LOBBYIST
CMatched-383,SPRIND GmbH,Leipzig,LOBBYIST
